PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE
1641716,Jarace Walker,IND,22.0,76,25.7,0.2,11.6,4.0,9.6,0.419,1.8,4.7,0.374,1.8,2.4,0.749,0.543,0.51,2.5,1.8,0.143,1.38,12.1,5.1,0.023,0.17,106.5,117.6,-11.1,-6.0,0.09,104.46,41.6,0.48958333333333337,0.25,0.574900918442595,-0.031900918442595017,0.34571428571428586,0.3791960567977691,35.9
1642272,Jared McCain,OKC,22.0,67,17.3,0.198,8.3,3.0,7.2,0.425,1.5,3.8,0.385,0.8,0.9,0.864,0.551,0.528,1.3,0.8,0.111,1.61,8.6,2.0,0.019,0.092,113.5,108.9,4.6,1.9,0.079,102.61,30.2,0.5277777777777778,0.125,0.5509463145168112,5.3685483188847805e-05,0.36857142857142877,0.4854641915451304,41.5
1628991,Jaren Jackson Jr.,UTA,26.0,48,30.3,0.253,19.4,7.1,15.0,0.476,1.8,4.9,0.357,3.4,4.2,0.803,0.576,0.534,2.0,2.2,0.105,0.88,10.6,5.7,0.027,0.14,108.7,110.8,-2.0,-1.3,0.107,103.6,58.9,0.3266666666666667,0.28,0.5760081324703767,-8.132470376787104e-06,0.43999999999999995,0.4852586099446018,45.8
1629020,Jarred Vanderbilt,LAL,27.0,65,17.3,0.119,4.4,1.7,3.7,0.471,0.4,1.5,0.293,0.5,0.9,0.589,0.544,0.531,1.3,0.9,0.098,1.5,13.8,4.5,0.073,0.194,113.9,113.7,0.2,0.1,0.08,100.41,15.4,0.4054054054054054,0.24324324324324323,0.5830792145509283,-0.03907921455092822,0.34857142857142875,0.35532393684070407,35.1
1628386,Jarrett Allen,CLE,28.0,56,27.1,0.196,15.4,6.0,9.4,0.638,0.0,0.2,0.1,3.3,4.7,0.709,0.669,0.639,1.8,1.3,0.092,1.33,9.1,8.5,0.097,0.202,119.3,112.9,6.4,3.8,0.143,102.56,43.5,0.02127659574468085,0.5,0.6265046495315564,0.04249535046844366,0.7057142857142857,0.6266080650235993,67.4
1642914,Javon Small,MEM,23.0,41,20.2,0.183,9.7,3.3,7.0,0.465,1.5,3.5,0.423,1.7,2.0,0.829,0.611,0.569,3.7,1.4,0.257,2.7,10.6,3.1,0.04,0.109,111.7,117.4,-5.7,-2.6,0.109,104.37,29.3,0.5,0.2857142857142857,0.5835146898966656,0.027485310103334437,0.54,0.5766907199115325,55.5
1629750,Javonte Green,DET,32.0,82,17.6,0.143,6.9,2.3,5.0,0.447,1.1,3.0,0.381,1.3,1.5,0.84,0.607,0.56,0.7,0.5,0.052,1.24,7.9,2.8,0.042,0.112,113.0,105.4,7.6,2.6,0.095,102.74,22.6,0.6,0.3,0.5899042934464203,0.017095706553579726,0.5285714285714285,0.5421390855817412,53.4
1629637,Jaxson Hayes,LAL,25.0,66,18.3,0.124,7.5,3.0,4.0,0.756,0.0,0.0,1.0,1.5,2.3,0.653,0.758,0.761,0.9,0.5,0.071,1.9,7.4,4.1,0.083,0.139,115.5,113.1,2.4,1.1,0.109,100.49,19.2,0.0,0.575,0.6488766252225322,0.10912337477746781,0.96,0.8481860223553974,91.5
1630643,Jay Huff,IND,28.0,82,21.0,0.178,9.5,3.5,7.5,0.476,1.5,4.5,0.319,1.0,1.2,0.828,0.598,0.574,1.5,0.9,0.105,1.59,9.0,4.0,0.041,0.135,107.4,113.7,-6.3,-3.1,0.092,102.99,31.9,0.6,0.16,0.5593072841578988,0.03869271584210121,0.5028571428571427,0.6139620347424642,54.7
1627759,Jaylen Brown,BOS,29.0,71,34.4,0.351,28.7,10.4,21.7,0.477,2.0,5.7,0.347,6.0,7.5,0.795,0.573,0.522,5.1,3.6,0.251,1.41,10.8,6.9,0.032,0.155,119.5,113.0,6.5,4.5,0.152,97.73,89.5,0.26267281105990786,0.3456221198156682,0.5782896042874148,-0.005289604287414873,0.4314285714285713,0.467694563148061,44.6
